date,price,rsi,macd,bb_upper,bb_lower,momentum,volatility,rsi_signal,macd_signal,bb_signal,momentum_signal,volatility_signal,combined_signal,position
2025-09-12,4517.9,63.708979655901864,3.869254915916798,4566.225718032198,4375.469281967802,64.17999999999938,47.68910901609905,0,1,0,1,0,0.5,0
2025-09-12,4515.12,62.78559440975868,1.7448176986734083,4570.675483985024,4378.791516014977,56.30000000000018,47.97099199251169,0,1,0,1,0,0.5,2
2025-09-12,4516.69,63.110772578644664,0.13114516240513652,4574.227307625318,4384.155692374682,4.619999999999891,47.5179038126591,0,1,0,1,0,0.5,2
2025-09-12,4520.76,63.98923281643578,-0.9185533329764297,4576.097849612598,4393.1091503874,23.150000000000546,45.74717480629941,0,-1,0,1,0,-0.09999999999999998,2
2025-09-12,4526.63,65.27366128004758,-1.4427715321267804,4577.882858787679,4402.197141212321,19.11999999999989,43.92142939383931,0,-1,0,1,0,-0.09999999999999998,2
2025-09-12,4539.64,67.99810084394618,-1.151201989793183,4581.679617245642,4409.033382754358,34.090000000000146,43.16155862282069,0,-1,0,1,0,-0.09999999999999998,2
2025-09-12,4547.02,69.4617149117175,-0.7202666778317308,4583.536696492799,4419.847303507201,25.660000000000764,40.92234824639964,0,-1,0,1,0,-0.09999999999999998,2
2025-09-12,4541.98,67.20130407033491,-1.0155436937337647,4582.888851753995,4432.320148246004,-16.43000000000029,37.64217587699796,0,-1,0,-1,0,-0.5,2
2025-09-12,4575.8,73.4458636256234,0.7317514268835161,4584.195410245478,4446.865589754521,36.8100000000004,34.33245512273918,-1,1,-1,1,0,0.09999999999999998,0
2025-09-12,4613.05,78.33784000752394,3.8849218713556937,4593.924928435149,4455.5190715648505,87.23999999999978,34.60146421757459,-1,1,-1,1,0,0.09999999999999998,0
2025-09-12,4624.61,79.59422163237961,6.10564302116245,4607.322405173129,4459.210594826871,106.71000000000004,37.02795258656427,-1,1,-1,1,0,0.09999999999999998,0
2025-09-12,4657.18,82.64785918706639,8.95240226669739,4627.168218773252,4459.200781226748,142.0600000000004,41.99185938662598,-1,1,-1,1,0,0.09999999999999998,0
2025-09-12,4670.48,83.71927170694234,10.792147521146397,4650.349819411245,4451.860180588756,153.78999999999996,49.62240970562247,-1,1,-1,1,0,0.09999999999999998,0
2025-09-12,4649.8,75.87445476674722,9.711151725060624,4663.565412342226,4453.863587657774,129.03999999999996,52.42545617111296,-1,1,-1,1,0,0.09999999999999998,0
2025-09-12,4695.16,80.24669763855181,11.048544447921529,4685.743433537142,4450.450566462858,168.52999999999975,58.82321676857102,-1,1,-1,1,0,0.09999999999999998,0
2025-09-12,4712.16,81.59308118872944,11.99657709246216,4707.973671518177,4448.8813284818225,172.51999999999953,64.77308575908862,-1,1,-1,1,0,0.09999999999999998,0
